BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;0;0;42;31;0;0;0;0
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VMBO TL lj 3-4;Landbouw;N.v.t.;0473;MAVO/Theor Lw-Profiel Landbouw;0;0;0;0;0;0;2;3;0;0;0;0
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VMBO TL lj 3-4;N.v.t.;N.v.t.;0474;MAVO/Theor Lw-Profielloos leerjaar 3;0;0;0;0;79;80;0;0;0;0;0;0
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;17;0;0;0;0;0
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;0;0;18;27;0;0;0;0
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4045;VMBO-TL naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;1;0;0;0;0;0
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;1;11;2;8;0;6
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0273;VWO-GYM Prf Cul/Maat;0;0;0;0;0;0;0;0;0;0;0;3
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;23;29;15;30;15;18
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0272;VWO-GYM Prf Ec/Maat;0;0;0;0;0;0;0;0;0;0;3;2
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;10;52;11;28;4;23
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0271;VWO-GYM Prf Nat/Gezond;0;0;0;0;0;0;0;0;0;0;0;10
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;18;12;21;9;20;7
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Natuur en Techniek;0270;VWO-GYM Prf Nat/Tech;0;0;0;0;0;0;0;0;0;0;7;3
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0174;VWO-ATH Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;0;0;1;1
00KV;00;KSE 00KV;ETTEN-LEUR;Noord-Brabant;VWO lj 4-6;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0274;VWO-GYM Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;0;0;1;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;30;32;0;0;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;41;57;59;58;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0017;Ljvb op VWO;0;0;23;12;0;0;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0031;Ljvb op VMBO-BBg Lw;2;1;0;0;0;0;0;0;0;0;0;0
